time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,block_height,halving_period,AdrActCnt2,S2F
2018-06-10,261.78843026251525,-9.300341296928327,276.3446809797407,307.95302230947533,-21.071481053249485,1518.8494366493558,1950.0342941953375,40538.94981923468,-47.46477092672472,541.4817787206207,-83.01571428571428,108.0592628066868,71.76898100841345,1998.050278324286,36530.98896396322,-54.650170648464155,-65.78106971371294,456.4846876220233,-54.650170648464155,456.4846876220233,0.8235617760537384,-33.19675610719658,0.0,1121.4055719508478,-65.41668262218722,-150.80466813689836,32.44357604158334,3.628393850596412,15.016167492066934,228.39887314332833,186.68353234348257,13.837256638926387,1292.5918419818095,-50.06217637982551,510.8758820932678,-59.895955560797674,387.14292263439825,42.596721979626764,1647.8220465173101,-4.312055543566173,-20.57331739860698,-0.7156686414970692,72.17362606482223,100.0,1208.9086827181488,192.04867567400882
2018-06-17,237.99085022008862,-15.37229783827062,212.46481040248543,271.8785342342472,-28.161403365568503,1342.9045652724294,1908.4550664944666,38078.08102537023,-29.6472560037082,665.356889837998,-71.11714285714285,214.110008056783,126.0335758915324,2359.7034003277126,32251.226710981882,-57.686148919135306,-68.02135564176137,361.40538576214107,-57.686148919135306,361.40538576214107,-22.02766998370166,-40.574396799496725,0.0,990.483955310793,-69.18396745217098,-191.6714875406054,32.22595329094109,3.5956192507080376,14.977427276283928,222.19807284832638,177.14667036017292,87.44861535084483,1945.5573872931016,-51.22559139987024,434.25338120852456,-55.362094918782745,387.4504936402548,40.16841138067031,1435.2407161620424,13.764308123578072,-5.456631334379091,11.41029787970198,71.81778538560168,100.0,1042.3781483249838,212.48858213885603
2018-06-24,237.040621295333,-10.492845786963434,226.78628386912703,267.86654462869905,-26.70757043873726,1356.2479419351848,1886.8371412785798,36611.27683015235,112.11257285800475,2276.505993705428,10.864285714285703,1139.6992916360534,587.1928488927841,7619.317810720999,32848.0271058045,-55.246422893481714,-66.12260211161546,393.5848364049947,-55.246422893481714,393.5848364049947,-5.6602354632314,-38.18594124776327,0.0,1002.385308612171,-71.53554203270743,-974.0209422451712,32.01374101763306,3.5631228839636764,14.918081312526542,214.15972926754975,174.85721281027077,36.5106656383269,1409.8700229926185,-59.23819477467491,349.844974548479,-58.508632771094625,360.612821204784,13.141931478301139,1149.6683342823737,15.917868604092522,18.254322437400482,15.891517126634325,71.48218730553828,100.0,1035.963804031441,194.9791939612476
2018-07-01,244.5690757391433,1.8981018981018893,248.10919619127557,239.7636834384862,-34.22813352551534,1176.2924722161895,1840.5139408290968,30090.03298117081,-16.85090305205641,702.7005434603985,-81.07857142857144,82.5250282599039,154.44089115800764,2351.7608095121864,30663.070570224005,-49.05094905094906,-61.38011056371448,393.0122658391214,-49.05094905094906,393.0122658391214,-14.791824885202853,-43.865499253521634,0.0,867.4092716050346,-79.39508768517796,920.968300964277,31.857553199789134,3.5382697655371276,14.920308414382898,204.11752756887256,162.04376809058877,39.862479554694616,1247.8726553495148,-62.66400029718619,259.9190779245261,-45.097678919366565,428.45953071517744,-2.7986863094122127,835.4688438521416,14.067652601230552,40.378501811576804,9.327504585015966,71.25716777851363,100.0,1087.2784795572747,158.8027661823312
2018-07-08,221.33239660092437,-7.904411764705888,201.67737131439242,234.6329176420598,-27.414653765333718,1289.232584773141,1813.9592148591514,31490.369591940827,-38.1703494391369,551.5086339503849,-83.24142857142857,76.36155419768644,94.91617124079622,1953.0393037862273,28991.61404583464,-53.95220588235294,-65.05045967869165,385.9639533152359,-53.95220588235294,385.9639533152359,-17.062009925832722,-37.798660910964955,0.0,954.4156277104177,-76.37420318061191,1463.6750553747486,31.678229209133058,3.5104270693152584,14.850520248600919,212.96558303674183,168.17295702418375,65.59836534918833,1643.731594499199,-49.45452877940999,432.49493652772475,-49.97628256433251,427.7922923576906,37.75377662164141,1350.0482926411291,14.25825751994565,60.721142358759,11.169080313102109,70.97990232847123,100.0,932.5450910529374,185.95990694518312
2018-07-15,327.3423234130429,-12.926391382405743,287.86229007968865,341.09047841259166,-29.54856780760975,1235.4246591975284,1795.4964976366355,30838.973186351148,-47.206145661749986,436.12940025425576,-82.73714285714287,75.10237986993711,63.94688295342266,1565.531926725311,26839.6804225858,-56.46319569120287,-66.90989891411442,341.4839687903078,-56.46319569120287,341.4839687903078,-18.18672101647404,-39.363498866058244,0.0,914.9556280348756,-70.63054837451918,-210.7672435303439,31.490033464094005,3.481494578928035,14.744344197502901,209.94847574066125,171.1360847174178,60.94783198286964,1535.4812339204625,-45.07122960918591,457.49570909102727,-51.036893594319906,397.77642550070215,50.26472706920706,1425.0542025328,11.951923570275502,67.88484110805378,11.686334741655102,70.68007069835475,100.0,1726.2146138005776,202.02040676082623
2018-07-22,263.37752085348774,5.888030888030893,241.95366822088596,226.12878057153014,-16.432843449354838,1476.5712644218852,1786.4782818921014,29224.767993238187,-34.08926810862884,690.5281038195258,-78.29142857142858,160.54550302977563,129.0562151696574,2643.2205689983857,30932.246408502455,-47.05598455598455,-59.70808953784572,537.2352684073754,-47.05598455598455,537.2352684073754,-24.8596470708333,-26.788763557364238,0.0,1099.8148822972573,-65.459882979237,212.63876738311347,31.334377089794874,3.456154014249857,14.696155303512493,243.4418424045191,197.9780647386806,78.3732015604246,2031.9969323325108,-40.99507435775571,604.9331947095156,-57.382327418587394,407.7554064373498,78.66127351885623,2034.6076096229942,8.74350809961848,83.88311754271278,36.578289602533445,70.46546647356153,100.0,1220.4322266162692,148.06274323614855
2018-07-29,286.3361118003259,4.549590536851689,269.11495384747064,251.65668201205236,-3.582911481361928,1723.601112972325,1791.3471383801625,27874.886383620134,-37.06225099501874,774.1012412867834,-83.75285714285715,125.47310320709796,125.29148350301922,3030.57573782335,29160.138857109225,-47.72520473157415,-60.16840990605071,626.5696572855925,-47.72520473157415,626.5696572855925,-22.879923473495754,-11.52650604427411,0.0,1289.5092659285333,-60.259299327213945,-560.9935070118677,31.16852413777169,3.42917393108646,14.508233685076789,254.76174173433944,214.29819871191182,71.06514475419516,2275.5469904138886,-50.69505468090003,584.5355077819994,-66.23071720410336,370.0487101538368,56.47332636573059,2073.5618239991522,9.002440311222038,115.52439410587172,61.29660978344133,70.23467417692,100.0,1392.5559128099392,150.92116279793055
2018-08-05,243.38668379884072,-1.6304347826086918,209.1149366835055,211.91625011376223,-10.674774484497561,1575.6921848188742,1775.8649338237315,30985.81641713982,-40.161461805946374,667.92856608314,-83.22428571428571,115.73995919991056,93.8407216417946,2398.369832681155,30416.139002684515,-50.815217391304344,-62.47434100165056,526.3004954706043,-50.815217391304344,526.3004954706043,-15.842579922801692,-14.867702740394984,0.0,1178.427231051495,-67.95302701000074,-339.23595267154576,30.996117661070134,3.411182164455462,14.504784669345504,221.1948543290243,191.90872914658726,49.52485034561329,1828.6544331800035,-43.5547174740342,622.1777330939939,-57.84947678240238,442.03521853668815,65.06470847010786,2019.4429490194018,4.839085651915331,132.19964155352443,78.80136380985687,69.98279288603304,100.0,1079.1441461036502,166.33464806228625
2018-08-12,214.11906833110191,-7.240204429301533,181.75565947012595,205.43739580658888,-14.348942660425623,1493.9593959717856,1760.9450573231647,30562.545245952595,-63.653493266438964,350.35097907240794,-85.44142857142857,77.72534013532979,13.371134013113139,1300.9900583035042,28357.70863074564,-53.620102214650764,-64.5652353937891,462.82247918296224,-53.620102214650764,462.82247918296224,-19.22460979934587,-14.231352758206262,0.0,1117.805876102243,-80.55298454064814,-101.4294086901231,30.80731489320567,3.400557399749049,14.372229814040317,194.89507619701527,165.13116556986324,67.14663647606012,1943.0004228457587,-59.96550409066067,388.5295779339715,-56.210834852452386,427.049979841936,8.216563972764646,1219.298722736546,-1.1071650137343791,102.26077607967228,82.69789504390673,69.69603997975709,100.0,886.7078908919948,182.03450447130112
