time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,block_height,halving_period,AdrActCnt2
2019-02-28,158.31598065275077,-2.228016117563403,175.09391440374125,179.84554756378327,7.669422757706901,1874.612720568064,1734.1329626982063,13499.184108088908,-44.223165022611525,777.2335791038122,-68.03821428571428,407.6077285059057,93.8721972553934,2946.5654266940414,13200.09925159647,-51.1140080587817,-61.425719529258785,660.9000546638592,-51.1140080587817,660.9000546638592,-4.006429607564699,24.871355792547313,0.0,1458.1719491925116,-4.829765112036788,-102.29119912685918,26.446646086256642,3.1453831301917257,10.794322550556835,248.37941957668374,132.78286123956292,32.78817785869812,1981.1081253326108,-63.97541100241051,464.8965367490275,-17.004934281034224,1206.7102668644818,-10.714762509990084,1298.7411963723064,-22.92235412631619,-61.70266118586749,-47.5986974337221,63.50939629356365,100.0,567.2714586059229
2019-03-31,170.08010947526887,-0.021973192704904942,163.81156192955933,163.51710156474795,0.6093825953267684,1734.8225310230812,1723.8432156395168,12975.460497942993,-30.505013694660477,912.5237751653812,-51.79677419354836,603.1874993975831,118.97124522963693,3095.3961437718594,12972.151190758981,-50.01098659635246,-60.36559635913545,628.8714366899956,-50.01098659635246,628.8714366899956,5.354006843006065,12.806563432255613,0.0,1354.550931829452,2.052268254961498,-49.45865175659002,25.82546944094768,3.10720075406814,10.694416554999876,210.60321755435658,150.87283052163883,17.592822236614936,1600.5921606178888,-68.14984002161262,361.35936911911426,-25.930661480860685,967.0433115284444,-19.681916674679833,1063.7262311912577,-24.78119385436932,-34.74897330031121,-53.1041679339754,62.68369858866938,100.0,629.4326553417321
2019-04-30,191.76176597447804,1.9746121297602226,203.0584116477704,195.5013788174757,47.40183550456001,2640.6949793204058,1759.3896327656519,13082.323012826115,37.06434069720616,2909.685430160933,30.887333333333356,2757.910278823364,376.75398497749217,10360.649617017698,13349.055129948027,-49.01269393511989,-59.383473022980304,1012.6852684531832,-49.01269393511989,1012.6852684531832,-15.513799093341795,38.527471986787695,0.0,2083.0672592863853,-28.178074191949943,-348.900263697011,25.261413234308282,3.0722295714793457,10.793162773218956,244.63735793967635,180.49818384379478,50.73658383847381,3194.883123925395,-64.00313352628764,693.7943041822615,-43.94423128484305,1120.6375522327357,2.896457345581216,2168.0294467710946,-17.963814561654324,23.075102781879743,-7.591026649561616,61.9550251114497,100.0,751.2492808454612
2019-05-31,212.66003752745104,5.733482642777155,225.56064341087873,207.03233426004144,98.0396627053572,3745.4080450125966,1835.8858678151062,13789.8743160865,145.2846794291468,7788.290161291305,122.02354838709688,7051.024552423625,777.1583434969409,28119.893321561456,14570.504713257762,-47.133258678611426,-57.69561261474523,1531.7835747983456,-47.133258678611426,1531.7835747983456,-18.054452647645924,42.71360880569426,0.0,2976.8258805173496,-77.41966809558758,4779.980237822692,24.69320476601378,3.036896921200549,10.113642969970126,258.9315547759976,196.8901439179624,53.347405221118095,4633.435157309659,-68.53897228293843,877.5348866004022,-53.96685805565069,1309.008908284887,-5.15189338803459,2852.7944367457376,-12.4875751867621,86.81122706946938,50.35559437869039,61.255555400755114,100.0,877.5629906666709
2019-06-30,194.3206774608388,3.1264262893655914,172.63019460701025,162.90951369447782,134.67204089275165,4809.455555650252,1985.4484880135967,15287.624218925364,118.73140005606095,8530.412568345379,98.68033333333341,7777.455942042234,551.1442286306121,25728.938782892692,15780.875411586274,-48.4367868553172,-58.55184671505982,1949.2119665327828,-48.4367868553172,1949.2119665327828,12.698045311237284,32.318118635746714,0.0,3846.5004738991865,-167.60778644467692,6809.947306263928,24.134200603259636,3.0013696929909406,8.781140588278213,198.83709525851452,144.1359542598636,12.761647538778774,4358.869919818407,-61.047405523294394,1445.4293852509882,-60.69172585381195,1458.226019799476,-2.829853643825131,3754.254399261314,-15.221846368874836,212.751810819246,140.75573976591517,60.55435808922913,100.0,766.246611810071
2019-07-31,150.9469643355041,4.080296748854462,88.02779890604752,80.83517351558622,108.22163807163881,4613.863331445521,2166.7801959969484,17132.76124265459,-15.95095867831552,3117.98713218824,-9.376957702034828,3399.0007389407792,103.73139259364793,7727.6406606722985,17788.738582780115,-47.95985162557277,-57.97740807551828,1884.0006531068132,-47.95985162557277,1884.0006531068132,21.062959633037547,9.444733089924306,0.0,3706.9844933782547,-195.56307302009793,-2.6358253227484196,23.562408380629442,2.9646093123249173,9.469843556513169,139.18279761610418,23.246448347693892,10.815106478816915,4141.4673965346055,-53.29176244615367,1703.3639934182706,-50.83487587249419,1801.8627018354007,-18.91519836390636,3024.2340363634007,21.167204503053405,161.14733542296818,175.24261799574336,59.850754383580274,100.0,529.7437890920476
2019-08-31,147.8047696422414,1.7627856365614702,128.38071986737046,123.83875094797597,116.33073217462791,5111.503106396238,2311.460424978258,18623.386407936352,-40.18554983923662,2440.9871056403945,-36.80445840535796,2596.070106349374,71.25603891152561,7165.881993889507,18932.340390894602,-49.11860718171926,-58.72212947531548,2052.8908297868134,-49.11860718171926,2052.8908297868134,132.5648732859895,31.873174156553684,0.0,4127.109841125707,-212.66729112405557,-100.144782211675,22.989011231816736,2.9269684428203213,9.535458428606924,184.83334165227677,54.395241796214336,-51.57187798354419,1992.0738725534584,-79.27160354159759,804.8845231921661,-64.8797002553914,1449.4118921976994,-55.42879292793034,1817.3187558106292,64.8367972916468,41.38046316058548,92.6896761921437,59.13410033696251,100.0,514.0720385744432
2019-09-30,130.8764803620303,3.7144775117476048,88.49850691730441,83.0156488482934,104.62775134605265,5033.225885556849,2408.837122178989,19885.78083064651,-53.81800470781353,1825.4072819821452,-62.52316731732323,1459.3930751787352,12.00507456191029,4576.432139155294,20593.489996739085,-48.1427612441262,-57.73943776607542,2073.9660075546644,-48.1427612441262,2073.9660075546644,92.87992410081422,64.4088397994484,0.0,4083.5018162609417,-204.2754123912133,37.67976889534006,22.44741019194647,2.891097309790225,9.436978400717532,136.57673440954014,78.55722550942805,-33.00835234943541,2688.241019616667,-74.84640532472415,945.5164705217923,-54.90887775316293,1777.6104232249136,-48.06463595312164,2062.127766126032,70.98939783004217,-2.603336685602342,13.566100027674398,58.47700005836876,100.0,433.03949184358953
2019-10-31,107.59931136422254,-0.7894736842105288,86.82873373823064,88.15003485492994,54.41248156328196,3752.834660656976,2396.022019948492,21409.716922597756,-53.24282414541859,1390.5035166548953,-63.43935483870966,1075.3124206886635,8.157139252656576,3317.340988568511,21207.21316713931,-50.39473684210527,-59.392660029890365,1456.6353185195928,-50.39473684210527,1456.6353185195928,151.13708750783383,58.42726472301072,0.0,3054.332962132364,-216.8041257911634,-194.01028495719913,21.88582475630314,2.852934824860709,9.224189021260255,131.94477896129646,101.74641116424566,-48.33728025492361,1510.9506709690304,-82.6566092891624,444.37785019518685,-65.6791439460601,992.0718568920402,-64.82755421246165,994.1982134357388,82.95590567176463,122.474712930702,29.057472772295068,57.7685504123479,100.0,330.9747407889941
2019-11-30,83.3261604875907,-8.668530866853086,73.22920914305007,89.98337377677971,20.789873054561237,2806.4240237606887,2305.4527590905445,19576.57416765397,-41.458930576673346,1301.810700915463,-54.24466666666665,999.561632407695,13.642099059106183,2612.0170776740893,17846.288795417622,-54.334265433426545,-62.43917194862681,994.036401643795,-54.334265433426545,994.036401643795,147.49780207288677,65.9291206219512,0.0,2290.5619143332897,-1590.2116750778875,-100.02569644605042,21.291399614550887,2.8112093367509416,8.842650000019203,94.10903914794089,69.86217248965545,-51.85983425202596,1023.9873606376333,-86.30713422790936,218.48863714993078,-64.92998646748377,734.1452579980102,-77.06672941275315,430.02446870401405,46.760485466474535,-18.010020297057228,4.763177797680429,56.9686343470863,100.0,236.0848111912186
